,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind speed
264,Sulangan,88,PH,1563909121,75,11.14,123.72,81.7,6.64
265,Skibbereen,75,IE,1563909121,88,51.55,-9.27,62.6,9.17
266,Fort Smith,75,US,1563909122,47,35.39,-94.42,86.0,6.93
267,Kholodnyy,9,RU,1563909122,63,62.72,147.95,35.08,1.34
268,Saint George,20,BM,1563909122,66,32.38,-64.68,87.8,11.41
269,Luwuk,100,ID,1563909122,87,-0.95,122.79,56.14,5.64
270,Nuuk,75,GL,1563909123,81,64.17,-51.74,46.4,20.8
271,Cairns,75,AU,1563909029,77,-16.92,145.77,70.0,9.17
272,Zapolyarnyy,0,RU,1563909123,47,69.43,30.82,75.2,14.99
273,Marsh Harbour,57,BS,1563909123,74,26.54,-77.06,84.58,17.05
274,Husavik,90,IS,1563909123,71,66.04,-17.34,53.6,13.87
275,Matara,100,LK,1563909124,91,5.95,80.54,75.94,5.73
276,Sumenep,1,ID,1563909124,93,-7.02,113.87,70.18,5.03
277,Sistranda,75,NO,1563909124,82,63.73,8.83,64.99,4.7
278,Broken Hill,0,AU,1563909124,71,-31.97,141.45,50.0,10.29
279,Alvorada,75,BR,1563909124,100,-30.0,-51.08,66.0,4.7
280,San Cristobal,100,EC,1563909125,63,-1.02,-79.44,81.16,3.58
281,Cockburn Town,56,TC,1563909009,77,21.46,-71.14,83.14,17.02
282,Omsukchan,71,RU,1563909125,94,62.53,155.8,31.48,3.11
283,Cheb,0,CZ,1563909125,41,50.08,12.37,84.99,4.7
284,Kalianget,53,ID,1563909125,96,-7.74,113.68,61.54,1.66
285,Tjome,0,NO,1563909126,88,59.11,10.39,77.0,8.05
286,Thasra,20,IN,1563909126,66,22.8,73.21,91.4,8.05
287,Port Keats,0,AU,1563909126,31,-14.25,129.55,66.4,12.21
288,Chalus,20,IR,1563909126,88,36.66,51.42,78.8,2.57
289,Mantua,0,CU,1563909126,65,22.29,-84.28,84.4,6.96
290,Mamallapuram,75,IN,1563909127,94,12.63,80.17,80.6,2.24
291,Sambava,86,MG,1563909127,83,-14.27,50.17,62.26,2.8
292,Tarakan,63,ID,1563908969,83,3.3,117.63,79.36,3.11
293,Bhadrak,99,IN,1563909127,72,21.06,86.51,85.12,9.78
294,Den Helder,0,NL,1563909127,73,52.96,4.76,81.0,6.93
295,Constitucion,75,MX,1563909127,43,23.99,-104.67,75.99,6.93
296,Poirino,0,IT,1563909128,51,44.92,7.85,88.0,2.24
297,Coruripe,31,BR,1563909128,90,-10.12,-36.18,73.42,7.52
298,Natchitoches,40,US,1563909002,58,31.76,-93.09,84.2,10.29
299,Kruisfontein,58,ZA,1563909129,70,-34.0,24.73,52.72,9.4
300,Methoni,40,GR,1563909129,40,36.82,21.7,86.0,6.93
301,Hilo,75,US,1563909129,73,19.71,-155.08,82.0,4.7
302,Lagoa,0,PT,1563909129,78,37.14,-8.45,82.99,9.17
303,Kevsala,32,RU,1563909129,50,45.79,42.68,74.86,7.09
304,Taoudenni,6,ML,1563909129,9,22.68,-3.98,113.2,7.09
305,Lyuban,100,BY,1563909130,92,52.8,28.0,62.62,9.19
306,Port Alfred,16,ZA,1563909130,90,-33.59,26.89,54.0,1.01
307,Izumiotsu,75,JP,1563909130,94,34.51,135.41,82.99,3.36
308,Karratha,92,AU,1563909130,49,-20.74,116.85,66.94,7.18
309,Tias,20,ES,1563909130,69,28.96,-13.65,77.0,25.28
310,Andenes,20,NO,1563909131,72,69.31,16.12,68.0,18.34
311,Terrace,75,CA,1563909131,59,54.52,-128.61,66.2,5.82
312,Mildura,75,AU,1563909131,100,-34.18,142.16,46.99,4.7
313,Tanete,0,ID,1563909131,72,-3.94,119.78,77.2,22.17
314,Bukama,0,CD,1563909132,25,-9.2,25.85,69.28,2.62
315,Luba,40,GQ,1563909132,88,3.46,8.55,78.8,6.93
316,Vila Franca do Campo,75,PT,1563909132,94,37.72,-25.43,71.6,12.75
317,Pevek,100,RU,1563909132,96,69.7,170.27,30.22,12.68
318,Sitka,0,US,1563909132,48,37.17,-99.65,81.0,1.01
319,Savelugu,55,GH,1563909133,76,9.63,-0.83,81.16,6.69
320,Ponta do Sol,20,PT,1563909133,73,32.67,-17.1,73.4,3.36
321,New Norfolk,75,AU,1563909133,56,-42.78,147.06,44.6,13.87
322,Ruzsa,0,HU,1563909133,50,46.29,19.75,77.0,9.17
323,Dryden,1,CA,1563909133,53,49.79,-92.84,77.0,4.7
324,Sinnamary,0,GF,1563909134,77,5.38,-52.96,81.34,10.58
325,Contepec,0,MX,1563909134,76,19.95,-100.16,72.0,11.99
326,Koumac,2,NC,1563909134,69,-20.56,164.28,68.92,18.81
327,Hermanus,83,ZA,1563909134,96,-34.42,19.24,50.0,21.0
328,Carnarvon,90,AU,1563909064,77,-24.87,113.63,59.0,5.82
329,Muzhi,81,RU,1563909135,72,65.4,64.7,57.22,7.0
330,Misratah,0,LY,1563909135,75,32.38,15.09,79.36,12.84
331,Gouyave,40,GD,1563909135,74,12.16,-61.73,87.8,13.87
332,Conroe,90,US,1563909016,66,30.31,-95.46,84.99,6.93
333,Berlevag,0,NO,1563909135,41,70.86,29.09,75.2,13.87
334,Nanchang,37,CN,1563909135,91,28.68,115.89,77.56,3.96
335,Te Anau,0,NZ,1563909136,81,-45.41,167.72,40.66,0.31
336,Katangli,99,RU,1563909136,97,51.71,143.23,52.0,14.23
337,Trairi,48,BR,1563909136,56,-3.28,-39.27,84.04,9.1
338,Coquimbo,20,CL,1563909136,58,-29.95,-71.34,55.4,9.17
339,Santa Elena,75,EC,1563909137,73,-2.23,-80.86,77.0,8.75
340,Pyapon,100,MM,1563909137,88,16.29,95.68,80.62,6.87
341,Mayumba,56,GA,1563909137,89,-3.44,10.65,71.44,13.47
342,Hasaki,75,JP,1563909137,100,35.73,140.83,73.4,2.24
343,Avarua,4,CK,1563909137,60,-21.21,-159.78,75.2,13.87
344,Saint-Philippe,0,RE,1563909138,77,-21.36,55.77,69.8,18.34
345,Hami,91,CN,1563909138,31,42.84,93.51,77.02,3.53
346,Kontagora,60,NG,1563909138,84,10.4,5.47,77.38,3.24
347,Adre,32,TD,1563909138,58,13.47,22.2,82.06,10.4
348,Rio Gallegos,0,AR,1563909076,52,-51.62,-69.22,41.0,23.04
349,Chokurdakh,99,RU,1563909139,53,70.62,147.9,51.28,13.42
350,Macherla,97,IN,1563909139,78,16.48,79.44,78.46,9.89
351,Lompoc,1,US,1563909060,64,34.64,-120.46,89.6,14.99
352,Lahat,55,ID,1563909139,76,-3.78,103.55,65.14,4.03
353,Puerto Suarez,18,BO,1563909139,46,-18.96,-57.8,89.6,9.17
354,Eregli,0,TR,1563909139,43,37.51,34.05,71.98,5.77
355,Konevo,40,RU,1563909140,93,56.45,43.2,64.4,2.24
356,Tuktoyaktuk,75,CA,1563909140,81,69.44,-133.03,51.8,14.99
357,Nabire,100,ID,1563909140,99,-3.36,135.5,68.2,2.44
358,Nemuro,80,JP,1563909140,88,43.32,145.57,59.02,14.14
359,Castro,40,CL,1563909140,57,-42.48,-73.76,50.0,4.7
360,Paamiut,100,GL,1563909141,95,61.99,-49.67,40.48,4.32
361,Vire,0,FR,1563909141,30,48.84,-0.89,95.0,8.05
362,North Bend,90,US,1563908928,82,43.41,-124.22,68.0,10.29
363,Tabuk,20,SA,1563909068,9,28.38,36.58,96.8,9.17
364,Alofi,7,NU,1563909141,88,-19.06,-169.92,66.2,1.12
365,Ayagoz,100,KZ,1563909016,52,47.96,80.43,67.84,5.5
366,Erdaojiang,42,CN,1563909141,97,41.78,126.03,65.86,3.78
367,Timberlake,40,US,1563909142,49,32.26,-81.31,93.99,10.29
368,Fort Nelson,40,CA,1563909142,53,58.81,-122.69,75.2,2.24
369,Longyearbyen,75,SJ,1563908931,70,78.22,15.64,48.2,3.36
370,Homer,1,US,1563909142,77,59.64,-151.54,66.99,5.82
371,Qaanaaq,60,GL,1563909035,62,77.48,-69.36,43.18,5.59
372,De Aar,0,ZA,1563909142,56,-30.65,24.01,48.94,31.12
373,El Dorado,1,US,1563909143,39,37.82,-96.86,82.99,9.17
374,Wanaka,1,NZ,1563909143,93,-44.7,169.14,30.76,2.44
375,Xiaoshi,0,CN,1563909143,90,30.59,116.63,79.36,4.14
376,Roseburg,20,US,1563908878,56,43.22,-123.34,75.99,4.7
377,Kahului,20,US,1563909019,54,20.89,-156.47,82.4,19.6
378,Skjervoy,0,NO,1563908874,82,70.03,20.97,64.4,5.82
379,Omboue,21,GA,1563909143,85,-1.57,9.26,74.14,17.67
380,San Vicente,99,PH,1563909144,88,14.11,122.87,75.22,0.89
381,Satipo,76,PE,1563909144,70,-11.26,-74.64,49.12,7.34
382,Meulaboh,84,ID,1563909144,69,4.14,96.13,84.04,4.47
383,Georgetown,49,SH,1563909144,77,-7.93,-14.42,74.68,21.41
384,Biloela,0,AU,1563909144,83,-24.4,150.51,50.38,1.39
385,Ilo,90,PE,1563909145,82,-17.65,-71.34,62.6,8.05
386,Kaeo,30,NZ,1563909145,100,-35.1,173.78,45.0,4.52
387,Luderitz,52,NA,1563908889,82,-26.65,15.16,59.0,10.29
388,Ahipara,33,NZ,1563909145,100,-35.17,173.16,45.0,12.48
389,Bathsheba,40,BB,1563909145,88,13.22,-59.52,82.4,12.75
390,Yellowknife,20,CA,1563909146,41,62.45,-114.38,77.0,11.41
391,Ngunguru,42,NZ,1563909146,94,-35.62,174.5,45.0,1.01
392,Rypefjord,0,NO,1563909146,82,70.63,23.67,60.8,8.05
393,Popondetta,96,PG,1563909146,97,-8.77,148.24,64.6,0.63
394,Vardo,0,NO,1563909146,76,70.37,31.11,75.2,17.22
395,Sayansk,100,RU,1563909147,91,54.11,102.18,59.92,2.15
396,High Prairie,32,CA,1563909147,73,55.43,-116.48,75.04,6.8
397,Puerto Carreno,40,CO,1563909147,66,6.19,-67.49,86.0,1.72
398,Guerrero Negro,17,MX,1563909147,78,27.97,-114.04,69.28,5.99
399,Montenegro,75,BR,1563909147,100,-29.68,-51.47,68.0,4.7
400,Salalah,90,OM,1563909147,88,17.01,54.1,80.6,4.7
401,Pareora,23,NZ,1563909148,97,-44.49,171.21,46.0,3.02
402,Bozdar,44,PK,1563909148,36,27.18,68.64,100.78,13.42
403,Port Hedland,96,AU,1563909148,29,-20.31,118.58,66.2,8.05
404,Jamestown,62,SH,1563909148,72,-15.94,-5.72,68.56,21.39
405,Northam,75,AU,1563909148,93,-31.65,116.67,48.2,2.24
406,Otavi,0,NA,1563909149,16,-19.64,17.34,58.48,7.16
407,Solnechnyy,100,RU,1563909149,98,50.72,136.64,50.02,7.2
408,Quijingue,80,BR,1563909071,64,-10.75,-39.21,77.02,8.01
409,Swan Hill,17,AU,1563909149,92,-35.34,143.56,42.64,5.77
410,Hovd,55,MN,1563909150,47,48.01,91.64,60.46,5.79
411,Fairbanks,82,US,1563909025,60,64.84,-147.72,73.99,1.21
412,Mount Isa,12,AU,1563909150,21,-20.73,139.49,59.0,9.17
413,Tomatlan,98,MX,1563909150,73,19.93,-105.25,85.48,15.77
414,Vernon,90,US,1563909150,77,41.84,-72.47,73.4,10.29
415,Sao Jose da Coroa Grande,73,BR,1563909151,80,-8.9,-35.15,77.56,8.97
416,Nishihara,75,JP,1563909151,94,35.74,139.53,78.01,5.82
417,Graaff-Reinet,33,ZA,1563909151,60,-32.25,24.53,48.76,33.2
418,Batagay-Alyta,19,RU,1563909151,46,67.8,130.41,50.02,4.41
419,Porto Novo,75,CV,1563909151,65,17.02,-25.06,80.6,46.08
420,Bilyayivka,0,UA,1563908970,41,46.48,30.22,75.2,8.95
421,Turukhansk,63,RU,1563909152,57,65.8,87.96,65.14,5.14
422,Heinola,0,FI,1563909152,30,61.2,26.03,71.6,4.7
423,Fortuna,90,US,1563909124,82,40.6,-124.16,79.0,5.82
424,Pokhara,100,NP,1563909152,98,28.21,83.99,59.38,0.92
425,Leshukonskoye,40,RU,1563909152,80,64.9,45.76,59.74,3.6
426,Leningradskiy,100,RU,1563909152,81,69.38,178.42,39.4,3.04
427,Tartagal,90,AR,1563908999,54,-22.52,-63.8,57.2,5.82
428,Balikpapan,74,ID,1563909153,96,-1.24,116.86,69.1,4.03
429,Mastic Beach,90,US,1563909153,64,40.77,-72.85,75.2,8.05
430,Ola,0,RU,1563909153,60,59.58,151.3,46.24,8.95
431,Hamilton,20,BM,1563909153,66,32.3,-64.78,87.8,11.41
432,Paoua,91,CF,1563909154,90,7.24,16.43,69.1,2.26
433,Mpika,0,ZM,1563909154,48,-11.84,31.4,54.7,6.53
434,Nago,20,JP,1563909154,78,26.59,127.98,82.4,1.12
435,Paulista,79,BR,1563909154,45,-6.6,-37.62,83.68,9.22
436,Lokachi,14,UA,1563909154,64,50.74,24.65,63.0,8.1
437,Louga,0,SN,1563909155,70,15.62,-16.22,86.0,9.17
438,Sumbe,30,AO,1563909155,82,-11.2,13.84,70.54,10.18
439,Namibe,2,AO,1563909155,82,-15.19,12.15,66.04,14.43
440,Eureka,90,US,1563908917,82,40.8,-124.16,64.0,5.82
441,Port Blair,93,IN,1563909155,80,11.67,92.75,84.22,22.68
442,Atar,0,MR,1563909155,12,20.52,-13.05,109.78,8.88
443,Tautira,20,PF,1563909050,74,-17.73,-149.15,80.6,16.11
444,Labuan,75,MY,1563909156,100,5.33,115.2,77.0,3.36
445,Hamoir,0,BE,1563909156,37,50.43,5.53,93.2,8.05
446,Saint-Leu,0,RE,1563909156,77,-21.15,55.28,69.8,18.34
447,Silver City,40,US,1563909156,53,32.77,-108.28,84.0,9.17
448,Batagay,33,RU,1563909157,49,67.65,134.64,50.2,3.29
449,Puerto Ayora,75,EC,1563909064,69,-0.74,-90.35,75.2,18.34
450,Talaya,20,RU,1563909157,87,55.79,84.89,55.99,4.47
451,Tessalit,59,ML,1563909157,16,20.2,1.01,103.84,5.97
452,Denpasar,45,ID,1563909157,87,-8.65,115.22,68.02,4.32
453,Leiyang,0,CN,1563909158,81,26.42,112.85,79.9,4.18
454,Luganville,75,VU,1563909158,73,-15.51,167.18,75.2,6.93
455,Namatanai,97,PG,1563909158,83,-3.66,152.44,78.82,18.16
456,Turtas,27,RU,1563909158,53,58.94,69.13,61.72,5.14
457,Mangan,91,IN,1563909158,93,27.5,88.54,60.64,1.41
458,Port Antonio,20,JM,1563909158,58,18.18,-76.45,87.8,13.87
459,Upernavik,0,GL,1563909159,62,72.79,-56.15,48.4,7.14
460,Yar-Sale,78,RU,1563909159,69,66.83,70.83,51.46,11.32
461,Udachnyy,70,RU,1563909159,37,66.42,112.4,68.0,4.47
462,Kanturk,40,IE,1563909159,77,52.18,-8.91,68.0,12.75
463,Ardahan,26,TR,1563909159,98,41.11,42.7,55.06,4.05
464,Kabalo,0,CD,1563909160,26,-6.05,26.92,75.94,3.11
465,Clyde River,40,CA,1563909160,81,70.47,-68.59,51.8,12.75
466,Okha,100,RU,1563909160,93,53.59,142.95,49.66,24.32
467,Xian,0,CN,1563909160,78,34.26,108.93,75.2,4.47
468,Saldanha,56,ZA,1563909161,71,-33.01,17.94,53.6,12.75
469,Nome,75,US,1563909161,74,30.04,-94.42,84.99,12.75
470,Vyartsilya,100,RU,1563909161,71,62.18,30.69,63.7,0.78
471,Arraial do Cabo,0,BR,1563909161,73,-22.97,-42.02,78.8,23.04
472,Macas,90,EC,1563909161,100,-2.3,-78.12,66.2,3.36
473,Dhidhdhoo,69,MV,1563908955,77,6.88,73.1,82.96,11.77
474,Venice,90,US,1563909162,79,27.1,-82.45,87.01,10.29
475,Douglas,75,US,1563909162,52,31.51,-82.85,93.99,5.82
476,Tyukalinsk,99,RU,1563909162,89,55.87,72.2,61.0,5.86
477,San Patricio,75,MX,1563909162,70,19.22,-104.7,91.4,17.22
478,Mar del Plata,0,AR,1563909163,50,-46.43,-67.52,45.52,13.42
479,Thunder Bay,75,CA,1563909133,47,48.41,-89.26,84.99,8.05
480,Severo-Kurilsk,99,RU,1563909163,91,50.68,156.12,45.88,2.3
481,Kastamonu,0,TR,1563909163,77,41.38,33.78,56.14,3.76
482,Puerto Maldonado,57,PE,1563909164,42,-12.59,-69.19,90.52,3.06
483,Cabo San Lucas,90,MX,1563909103,88,22.89,-109.91,89.01,10.29
484,Havre-Saint-Pierre,20,CA,1563909164,63,50.23,-63.6,64.4,9.17
485,Atuona,4,PF,1563909164,77,-9.8,-139.03,79.36,17.18
486,Tchaourou,71,BJ,1563909164,91,8.89,2.6,75.58,3.06
487,Magistralnyy,80,RU,1563909165,46,56.17,107.45,59.2,1.07
488,Salym,12,RU,1563909165,59,60.06,71.48,61.54,6.13
489,Petropavlovsk-Kamchatskiy,75,RU,1563908908,100,53.05,158.65,53.6,6.71
490,Tezu,100,IN,1563909165,98,27.93,96.16,71.8,2.98
491,Bachaquero,100,VE,1563909165,69,9.96,-71.12,84.58,4.0
492,Harrison,100,PH,1563909165,71,13.45,120.43,84.04,6.31
493,Komsomolskiy,79,RU,1563909166,72,67.55,63.78,49.3,9.17
494,Gizo,60,SB,1563909166,80,-8.1,156.84,80.44,26.19
495,Bay-Khaak,35,RU,1563909166,58,51.16,94.47,61.72,3.36
496,Dombarovskiy,16,RU,1563909166,61,50.76,59.54,66.58,11.34
497,Nanortalik,100,GL,1563909166,94,60.14,-45.24,39.22,5.61
498,Cleveland,1,US,1563908896,49,41.51,-81.69,77.0,9.17
499,Chuy,100,UY,1563909167,81,-33.69,-53.46,56.5,14.63
500,Ulladulla,40,AU,1563909167,47,-35.36,150.48,59.0,18.34
501,Xique-Xique,0,BR,1563909168,58,-10.82,-42.73,80.8,10.11
502,Saint-Pierre,75,PM,1563909168,100,46.77,-56.17,57.2,12.75
503,Quatre Cocos,75,MU,1563909168,88,-20.21,57.76,69.8,13.87
504,Svetlogorsk,40,RU,1563909169,82,53.14,59.15,57.2,8.95
505,Bud,75,NO,1563909116,88,62.91,6.91,66.0,6.93
506,Rikitea,97,PF,1563909169,76,-23.12,-134.97,70.0,16.89
507,Provideniya,100,RU,1563909169,96,64.42,-173.23,44.62,3.31
508,Cape Town,75,ZA,1563909170,76,-33.93,18.42,54.0,13.87
509,Flinders,40,AU,1563909170,47,-34.58,150.85,59.0,18.34
510,Hobart,75,AU,1563909170,56,-42.88,147.33,44.6,13.87
511,Shaoguan,2,CN,1563909170,92,24.81,113.59,75.4,1.5
512,Dariba,100,IN,1563909170,59,24.95,74.13,87.82,10.02
513,Norman Wells,20,CA,1563909171,60,65.28,-126.83,73.4,11.41
514,Storsteinnes,75,NO,1563909171,82,69.24,19.23,69.01,6.93
515,Bambous Virieux,75,MU,1563909172,88,-20.34,57.76,69.8,13.87
516,Geraldton,0,AU,1563909172,87,-28.77,114.6,50.0,4.7
517,Platanos,1,GR,1563909172,44,35.47,23.6,82.99,3.36
518,Olinda,0,BR,1563909172,29,-22.82,-43.41,89.6,5.82
519,Kurumkan,96,RU,1563909173,77,54.33,110.32,54.16,5.95
520,Dikson,5,RU,1563909173,90,73.51,80.55,34.72,2.95
521,Vung Tau,68,VN,1563909173,89,10.35,107.08,79.72,7.4
522,Magadan,0,RU,1563909173,59,59.56,150.8,47.14,10.36
523,Mae Ramat,96,TH,1563909173,96,16.98,98.52,72.34,1.07
524,Jumla,100,NP,1563909173,98,29.28,82.18,56.14,1.39
525,Kaabong,59,UG,1563909174,88,3.51,34.14,63.88,2.68
526,Isla Vista,1,US,1563909174,64,34.41,-119.86,90.0,14.99
527,Tenenkou,22,ML,1563909174,33,14.46,-4.91,97.0,5.12
